Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
29-Oct-21,07:05,"50,200.00",10,0.02,"50,200.00","50,200.00","50,200.00","135,600"
29-Oct-21,07:00,"50,190.00",160,0.32,"50,030.00","50,030.00","50,190.00","44,700"
29-Oct-21,06:55,"50,030.00",10,0.02,"50,010.00","50,000.00","50,040.00","22,400"
29-Oct-21,06:50,"50,020.00",0,0,"50,020.00","50,020.00","50,040.00","7,500"
29-Oct-21,06:45,"50,020.00",-20,-0.04,"50,040.00","50,020.00","50,040.00","4,100"
29-Oct-21,06:40,"50,040.00",0,0,"50,040.00","50,020.00","50,040.00","5,600"
29-Oct-21,06:35,"50,040.00",0,0,"50,050.00","50,030.00","50,060.00","5,300"
29-Oct-21,06:30,"50,040.00",40,0.08,"50,010.00","49,990.00","50,040.00","9,100"
29-Oct-21,06:25,"50,000.00",-40,-0.08,"50,030.00","49,990.00","50,030.00","4,500"
29-Oct-21,06:20,"50,040.00",20,0.04,"50,030.00","50,020.00","50,040.00","2,800"
29-Oct-21,06:15,"50,020.00",-20,-0.04,"50,040.00","50,020.00","50,050.00","3,900"
29-Oct-21,06:10,"50,040.00",-30,-0.06,"50,060.00","50,040.00","50,060.00","2,500"
29-Oct-21,06:05,"50,070.00",40,0.08,"50,030.00","50,010.00","50,070.00","6,600"
29-Oct-21,06:00,"50,030.00",30,0.06,"50,010.00","50,000.00","50,030.00","4,000"
29-Oct-21,05:55,"50,000.00",0,0,"50,010.00","49,980.00","50,010.00","3,700"
29-Oct-21,05:50,"50,000.00",0,0,"49,990.00","49,980.00","50,000.00","4,100"
29-Oct-21,05:45,"50,000.00",50,0.1,"49,950.00","49,940.00","50,010.00","6,800"
29-Oct-21,05:40,"49,950.00",-60,-0.12,"50,010.00","49,940.00","50,010.00","7,800"
29-Oct-21,05:35,"50,010.00",10,0.02,"50,010.00","49,960.00","50,010.00","8,000"
29-Oct-21,05:30,"50,000.00",-30,-0.06,"50,010.00","49,980.00","50,030.00","6,400"
29-Oct-21,05:25,"50,030.00",-80,-0.16,"50,110.00","50,020.00","50,110.00","5,200"
29-Oct-21,05:20,"50,110.00",70,0.14,"50,040.00","50,000.00","50,120.00","12,800"
29-Oct-21,05:15,"50,040.00",20,0.04,"50,020.00","50,020.00","50,040.00","3,400"
29-Oct-21,05:10,"50,020.00",30,0.06,"49,960.00","49,950.00","50,020.00","7,500"
29-Oct-21,05:05,"49,990.00",20,0.04,"49,970.00","49,960.00","50,020.00","8,400"
29-Oct-21,05:00,"49,970.00",-40,-0.08,"49,990.00","49,970.00","50,010.00","3,400"
29-Oct-21,04:55,"50,010.00",-20,-0.04,"50,010.00","49,950.00","50,020.00","10,600"
29-Oct-21,04:50,"50,030.00",90,0.18,"49,940.00","49,930.00","50,040.00","20,800"
29-Oct-21,04:45,"49,940.00",160,0.32,"49,770.00","49,770.00","49,940.00","15,800"
29-Oct-21,04:40,"49,780.00",-40,-0.08,"49,830.00","49,730.00","49,850.00","10,900"
29-Oct-21,04:35,"49,820.00",80,0.16,"49,920.00","49,800.00","49,940.00","22,000"
29-Oct-21,03:35,"49,740.00",0,0,"49,740.00","49,740.00","49,740.00","5,400"
29-Oct-21,03:30,"49,740.00",90,0.18,"49,650.00","49,650.00","49,760.00","9,100"
29-Oct-21,03:25,"49,650.00",-30,-0.06,"49,700.00","49,630.00","49,700.00","3,800"
29-Oct-21,03:20,"49,680.00",-10,-0.02,"49,690.00","49,670.00","49,730.00","4,300"
29-Oct-21,03:15,"49,690.00",30,0.06,"49,660.00","49,610.00","49,690.00","3,400"
29-Oct-21,03:10,"49,660.00",0,0,"49,660.00","49,580.00","49,730.00","6,700"
29-Oct-21,03:05,"49,660.00",10,0.02,"49,650.00","49,640.00","49,670.00","2,200"
29-Oct-21,03:00,"49,650.00",40,0.08,"49,580.00","49,580.00","49,670.00","6,000"
29-Oct-21,02:55,"49,610.00",120,0.24,"49,500.00","49,500.00","49,640.00","12,500"
29-Oct-21,02:50,"49,490.00",90,0.18,"49,390.00","49,390.00","49,500.00","5,500"
29-Oct-21,02:45,"49,400.00",40,0.08,"49,380.00","49,320.00","49,400.00","4,600"
29-Oct-21,02:40,"49,360.00",10,0.02,"49,350.00","49,310.00","49,360.00","3,000"
29-Oct-21,02:35,"49,350.00",-40,-0.08,"49,400.00","49,310.00","49,400.00","3,800"
29-Oct-21,02:30,"49,390.00",0,0,"49,370.00","49,340.00","49,410.00","2,600"
29-Oct-21,02:25,"49,390.00",-10,-0.02,"49,390.00","49,300.00","49,400.00","4,600"
29-Oct-21,02:20,"49,400.00",0,0,"49,400.00","49,390.00","49,440.00","3,700"
29-Oct-21,02:15,"49,400.00",50,0.1,"49,340.00","49,290.00","49,410.00","7,100"
29-Oct-21,02:10,"49,350.00",20,0.04,"49,320.00","49,320.00","49,390.00","5,500"
29-Oct-21,02:05,"49,330.00",-40,-0.08,"49,380.00","49,310.00","49,430.00","6,400"
29-Oct-21,02:00,"49,370.00",-110,-0.22,"49,460.00","49,370.00","49,490.00","7,300"
29-Oct-21,01:55,"49,480.00",30,0.06,"49,460.00","49,450.00","49,530.00","7,100"
29-Oct-21,01:50,"49,450.00",-100,-0.2,"49,560.00","49,420.00","49,560.00","6,800"
29-Oct-21,01:45,"49,550.00",120,0.24,"49,440.00","49,440.00","49,590.00","9,300"
29-Oct-21,01:40,"49,430.00",80,0.16,"49,350.00","49,310.00","49,430.00","12,400"
29-Oct-21,01:35,"49,350.00",-220,-0.44,"49,560.00","49,290.00","49,640.00","24,300"
29-Oct-21,01:30,"49,570.00",-70,-0.14,"49,630.00","49,560.00","49,660.00","9,300"
29-Oct-21,01:25,"49,640.00",-160,-0.32,"49,770.00","49,640.00","49,790.00","6,500"
29-Oct-21,01:20,"49,800.00",80,0.16,"49,710.00","49,650.00","49,840.00","12,500"
29-Oct-21,01:15,"49,720.00",-290,-0.58,"50,020.00","49,720.00","50,020.00","20,800"
29-Oct-21,01:10,"50,010.00",-120,-0.24,"50,120.00","49,910.00","50,140.00","28,000"
29-Oct-21,01:05,"50,130.00",770,1.56,"49,810.00","49,570.00","50,150.00","96,400"
28-Oct-21,07:05,"49,360.00",-30,-0.06,"49,360.00","49,360.00","49,360.00","236,000"
28-Oct-21,07:00,"49,390.00",-270,-0.54,"49,660.00","49,390.00","49,670.00","53,500"
28-Oct-21,06:55,"49,660.00",50,0.1,"49,610.00","49,600.00","49,670.00","16,400"
28-Oct-21,06:50,"49,610.00",40,0.08,"49,570.00","49,570.00","49,650.00","16,000"
28-Oct-21,06:45,"49,570.00",-40,-0.08,"49,600.00","49,560.00","49,610.00","9,700"
28-Oct-21,06:40,"49,610.00",-10,-0.02,"49,620.00","49,580.00","49,620.00","7,400"
28-Oct-21,06:35,"49,620.00",40,0.08,"49,570.00","49,570.00","49,620.00","8,900"
28-Oct-21,06:30,"49,580.00",-10,-0.02,"49,600.00","49,580.00","49,610.00","6,000"
28-Oct-21,06:25,"49,590.00",0,0,"49,590.00","49,550.00","49,600.00","8,700"
28-Oct-21,06:20,"49,590.00",-70,-0.14,"49,660.00","49,590.00","49,660.00","7,200"
28-Oct-21,06:15,"49,660.00",0,0,"49,660.00","49,640.00","49,670.00","6,800"
28-Oct-21,06:10,"49,660.00",50,0.1,"49,600.00","49,600.00","49,690.00","7,800"
28-Oct-21,06:05,"49,610.00",10,0.02,"49,590.00","49,590.00","49,650.00","7,400"
28-Oct-21,06:00,"49,600.00",-70,-0.14,"49,660.00","49,590.00","49,660.00","9,000"
28-Oct-21,05:55,"49,670.00",-50,-0.1,"49,720.00","49,630.00","49,750.00","13,400"
28-Oct-21,05:50,"49,720.00",60,0.12,"49,640.00","49,640.00","49,740.00","12,000"
28-Oct-21,05:45,"49,660.00",100,0.2,"49,550.00","49,520.00","49,680.00","17,000"
28-Oct-21,05:40,"49,560.00",100,0.2,"49,450.00","49,450.00","49,580.00","18,800"
28-Oct-21,05:35,"49,460.00",30,0.06,"49,420.00","49,410.00","49,490.00","9,900"
28-Oct-21,05:30,"49,430.00",120,0.24,"49,310.00","49,310.00","49,430.00","12,000"
28-Oct-21,05:25,"49,310.00",0,0,"49,310.00","49,300.00","49,330.00","4,100"
28-Oct-21,05:20,"49,310.00",40,0.08,"49,260.00","49,260.00","49,320.00","9,400"
28-Oct-21,05:15,"49,270.00",30,0.06,"49,240.00","49,240.00","49,270.00","3,800"
28-Oct-21,05:10,"49,240.00",10,0.02,"49,230.00","49,230.00","49,270.00","4,000"
28-Oct-21,05:05,"49,230.00",-30,-0.06,"49,260.00","49,220.00","49,260.00","4,200"
28-Oct-21,05:00,"49,260.00",40,0.08,"49,230.00","49,230.00","49,280.00","10,000"
28-Oct-21,04:55,"49,220.00",30,0.06,"49,200.00","49,180.00","49,240.00","5,800"
