Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
29-Oct-21,21:05,"1,114.50",0.32,0.03,"1,114.18","1,114.00","1,114.50","989,663"
29-Oct-21,21:00,"1,114.18",3.42,0.31,"1,110.84","1,110.29","1,115.21","1,281,527"
29-Oct-21,20:55,"1,110.76",6.18,0.56,"1,104.46","1,104.17","1,110.94","1,096,355"
29-Oct-21,20:50,"1,104.58",2.03,0.18,"1,102.58","1,102.37","1,104.78","558,421"
29-Oct-21,20:45,"1,102.55",1.28,0.12,"1,101.40","1,101.26","1,103.40","431,431"
29-Oct-21,20:40,"1,101.27",-0.08,-0.01,"1,101.42","1,100.76","1,101.77","217,406"
29-Oct-21,20:35,"1,101.35",0.78,0.07,"1,100.53","1,100.12","1,101.67","203,553"
29-Oct-21,20:30,"1,100.57",1.28,0.12,"1,099.30","1,099.01","1,100.99","223,063"
29-Oct-21,20:25,"1,099.29",-1.35,-0.12,"1,100.74","1,099.29","1,102.00","320,387"
29-Oct-21,20:20,"1,100.64",0.56,0.05,"1,100.26","1,099.02","1,101.26","267,409"
29-Oct-21,20:15,"1,100.08",1.01,0.09,"1,099.26","1,097.84","1,100.26","186,044"
29-Oct-21,20:10,"1,099.07",0.77,0.07,"1,098.20","1,098.01","1,100.33","269,778"
29-Oct-21,20:05,"1,098.30",-1.17,-0.11,"1,099.37","1,096.66","1,099.50","167,853"
29-Oct-21,20:00,"1,099.48",2.47,0.23,"1,097.06","1,096.77","1,099.65","201,343"
29-Oct-21,19:55,"1,097.00",-0.24,-0.02,"1,096.86","1,096.21","1,097.60","104,380"
29-Oct-21,19:50,"1,097.24",0.28,0.03,"1,097.06","1,095.58","1,097.90","134,799"
29-Oct-21,19:45,"1,096.96",-0.23,-0.02,"1,097.44","1,096.50","1,097.67","121,182"
29-Oct-21,19:40,"1,097.19",2.39,0.22,"1,094.94","1,094.94","1,097.45","119,701"
29-Oct-21,19:35,"1,094.80",-1.98,-0.18,"1,096.69","1,093.00","1,096.69","336,872"
29-Oct-21,19:30,"1,096.78",-1.73,-0.16,"1,098.78","1,096.00","1,099.12","202,837"
29-Oct-21,19:25,"1,098.51",-1,-0.09,"1,099.72","1,097.52","1,100.07","146,056"
29-Oct-21,19:20,"1,099.51",0.45,0.04,"1,099.25","1,098.85","1,100.70","153,321"
29-Oct-21,19:15,"1,099.06",-0.62,-0.06,"1,099.45","1,098.30","1,101.40","253,575"
29-Oct-21,19:10,"1,099.68",2.56,0.23,"1,097.45","1,097.07","1,100.42","237,976"
29-Oct-21,19:05,"1,097.12",0.56,0.05,"1,096.67","1,095.63","1,097.65","128,009"
29-Oct-21,19:00,"1,096.56",-2.32,-0.21,"1,098.78","1,095.09","1,099.12","185,245"
