Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
29-Oct-21,16:40,"3,912.00",-1.5,-0.04,"3,912.00","3,912.00","3,912.00","1,316,518"
29-Oct-21,16:35,"3,913.50",-1.5,-0.04,"3,913.50","3,913.50","3,913.50",749
29-Oct-21,16:30,"3,915.00",7,0.18,"3,907.50","3,907.00","3,915.50","87,260"
29-Oct-21,16:25,"3,908.00",2,0.05,"3,906.00","3,870.60","3,908.00","92,647"
29-Oct-21,16:20,"3,906.00",5.5,0.14,"3,901.00","3,899.50","3,906.00","19,131"
29-Oct-21,16:15,"3,900.50",1,0.03,"3,900.50","3,900.00","3,902.50","14,466"
29-Oct-21,16:10,"3,899.50",0.5,0.01,"3,899.50","3,898.00","3,903.50","15,344"
29-Oct-21,16:05,"3,899.00",-1,-0.03,"3,900.00","3,899.00","3,902.00","15,109"
29-Oct-21,16:00,"3,900.00",4.7,0.12,"3,895.50","3,894.50","3,900.50","26,719"
29-Oct-21,15:55,"3,895.30",-2.2,-0.06,"3,897.50","3,894.50","3,898.50","13,574"
29-Oct-21,15:50,"3,897.50",-3,-0.08,"3,901.00","3,896.50","3,901.00","8,546"
29-Oct-21,15:45,"3,900.50",5.5,0.14,"3,895.00","3,895.00","3,900.50","17,229"
29-Oct-21,15:40,"3,895.00",-6,-0.15,"3,901.50","3,895.00","3,902.50","16,235"
29-Oct-21,15:35,"3,901.00",2.5,0.06,"3,899.00","3,896.50","3,901.50","12,099"
29-Oct-21,15:30,"3,898.50",-1.5,-0.04,"3,898.00","3,894.00","3,898.50","38,932"
29-Oct-21,15:25,"3,900.00",2.5,0.06,"3,898.00","3,898.00","3,902.50","12,761"
29-Oct-21,15:20,"3,897.50",0.5,0.01,"3,896.50","3,894.50","3,899.00","27,148"
29-Oct-21,15:15,"3,897.00",-2,-0.05,"3,898.50","3,897.00","3,901.00","23,702"
29-Oct-21,15:10,"3,899.00",2.5,0.06,"3,897.00","3,894.50","3,899.00","9,843"
29-Oct-21,15:05,"3,896.50",9.5,0.24,"3,887.50","3,886.00","3,899.00","31,378"
29-Oct-21,15:00,"3,887.00",-3.5,-0.09,"3,890.50","3,886.00","3,891.70","16,389"
29-Oct-21,14:55,"3,890.50",3,0.08,"3,887.50","3,887.30","3,892.40","30,544"
29-Oct-21,14:50,"3,887.50",0,0,"3,888.50","3,884.00","3,888.50","28,904"
29-Oct-21,14:45,"3,887.50",6,0.15,"3,882.00","3,882.00","3,888.90","31,541"
29-Oct-21,14:40,"3,881.50",3.5,0.09,"3,878.00","3,877.00","3,883.00","261,865"
29-Oct-21,14:35,"3,878.00",0,0,"3,877.00","3,874.00","3,879.90","28,176"
29-Oct-21,14:30,"3,878.00",6.2,0.16,"3,872.00","3,870.00","3,878.00","20,064"
29-Oct-21,14:25,"3,871.80",-1.2,-0.03,"3,873.50","3,869.00","3,873.50","6,916"
29-Oct-21,14:20,"3,873.00",-3.5,-0.09,"3,876.00","3,873.00","3,877.80","9,960"
29-Oct-21,14:15,"3,876.50",-0.5,-0.01,"3,877.10","3,876.00","3,877.80","20,031"
29-Oct-21,14:10,"3,877.00",-3.5,-0.09,"3,880.50","3,877.00","3,881.00","7,901"
29-Oct-21,14:05,"3,880.50",-1,-0.03,"3,882.00","3,879.00","3,882.50","23,263"
29-Oct-21,14:00,"3,881.50",6,0.15,"3,875.00","3,875.00","3,883.00","31,539"
